id|premissa|conclusao|suporte|confiança
18|jumping_(60.5, 66.4]|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.32|0.82051282051282
19|jumping_(60.5, 66.4]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.32|0.82051282051282
20|international_reputation_(0.996, 1.4], work_rate_att_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.32|0.82051282051282
21|work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.56|0.823529411764706
22|skill_moves_(2.9, 3.2], work_rate_att_Medium|work_rate_def_Medium|0.42|0.823529411764706
23|work_rate_def_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.42|0.823529411764706
24|skill_moves_(2.9, 3.2], preferred_foot_Right|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.42|0.823529411764706
25|international_reputation_(0.996, 1.4], body_type_Normal|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.33|0.825
26|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.33|0.825
27|preferred_foot_Right, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.34|0.829268292682927
28|work_rate_def_Medium, body_type_Lean|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.34|0.829268292682927
29|eur_value_(-62940.0, 12354000.0], work_rate_att_Medium, weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.34|0.829268292682927
30|eur_value_(-62940.0, 12354000.0], preferred_foot_Right, work_rate_att_Medium|work_rate_def_Medium, international_reputation_(0.996, 1.4]|0.34|0.829268292682927
31|preferred_foot_Right, work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.39|0.829787234042553
32|skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.39|0.829787234042553
33|preferred_foot_Right|work_rate_def_Medium|0.6|0.833333333333333
34|eur_value_(-62940.0, 12354000.0], body_type_Normal|work_rate_def_Medium|0.35|0.833333333333333
35|work_rate_def_Medium, preferred_foot_Right|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.5|0.833333333333333
36|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], preferred_foot_Right|work_rate_def_Medium, international_reputation_(0.996, 1.4]|0.4|0.833333333333333
37|weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.51|0.836065573770492
38|penalties_(54.5, 61.0]|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.31|0.837837837837838
39|work_rate_att_Medium, body_type_Lean|work_rate_def_Medium|0.31|0.837837837837838
40|work_rate_att_Medium|work_rate_def_Medium|0.57|0.838235294117647
41|eur_value_(-62940.0, 12354000.0], work_rate_att_Medium|work_rate_def_Medium|0.52|0.838709677419355
42|skill_moves_(2.9, 3.2]|work_rate_def_Medium|0.63|0.84
43|international_reputation_(0.996, 1.4], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.42|0.84
