id|premissa|conclusao|suporte|confiança
22|skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.61|0.824324324324324
23|skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.61|0.824324324324324
24|body_type_Normal|work_rate_def_Medium|0.41|0.836734693877551
25|work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.36|0.837209302325581
26|work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.36|0.837209302325581
27|work_rate_def_Medium, work_rate_att_High|eur_value_(-62940.0, 12354000.0]|0.36|0.837209302325581
28|international_reputation_(0.996, 1.4], weak_foot_(2.6, 3.0]|skill_moves_(2.9, 3.2]|0.36|0.837209302325581
29|international_reputation_(0.996, 1.4], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2]|0.36|0.837209302325581
30|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], weak_foot_(2.6, 3.0]|skill_moves_(2.9, 3.2]|0.36|0.837209302325581
31|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, weak_foot_(2.6, 3.0]|skill_moves_(2.9, 3.2]|0.31|0.837837837837838
32|body_type_Lean|international_reputation_(0.996, 1.4]|0.42|0.84
33|body_type_Lean|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.42|0.84
34|eur_value_(-62940.0, 12354000.0], body_type_Normal|international_reputation_(0.996, 1.4]|0.37|0.840909090909091
35|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], preferred_foot_Right|international_reputation_(0.996, 1.4]|0.36|0.857142857142857
36|eur_value_(-62940.0, 12354000.0], preferred_foot_Right|international_reputation_(0.996, 1.4]|0.49|0.859649122807017
37|eur_value_(-62940.0, 12354000.0], weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.43|0.86
38|work_rate_def_Medium, preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.43|0.86
39|preferred_foot_Left|international_reputation_(0.996, 1.4]|0.31|0.861111111111111
40|preferred_foot_Left|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.31|0.861111111111111
41|preferred_foot_Right, work_rate_att_High|eur_value_(-62940.0, 12354000.0]|0.32|0.864864864864865
42|international_reputation_(0.996, 1.4], body_type_Normal|work_rate_def_Medium|0.32|0.864864864864865
43|international_reputation_(0.996, 1.4], body_type_Normal|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.32|0.864864864864865
44|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], body_type_Normal|work_rate_def_Medium|0.32|0.864864864864865
45|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], work_rate_att_High|international_reputation_(0.996, 1.4]|0.32|0.864864864864865
46|skill_moves_(2.9, 3.2], body_type_Lean|international_reputation_(0.996, 1.4]|0.34|0.871794871794872
47|skill_moves_(2.9, 3.2], body_type_Lean|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.34|0.871794871794872
48|work_rate_att_High|eur_value_(-62940.0, 12354000.0]|0.5|0.87719298245614
49|eur_value_(-62940.0, 12354000.0], work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.36|0.878048780487805
50|work_rate_def_Medium, body_type_Normal|eur_value_(-62940.0, 12354000.0]|0.36|0.878048780487805
51|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.36|0.878048780487805
52|eur_value_(-62940.0, 12354000.0]|international_reputation_(0.996, 1.4]|0.8|0.879120879120879
53|work_rate_def_Medium|eur_value_(-62940.0, 12354000.0]|0.66|0.88
54|eur_value_(-62940.0, 12354000.0], work_rate_att_High|international_reputation_(0.996, 1.4]|0.44|0.88
55|work_rate_def_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.37|0.880952380952381
56|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.61|0.884057971014493
57|skill_moves_(2.9, 3.2], body_type_Normal|work_rate_def_Medium|0.31|0.885714285714286
58|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.47|0.886792452830189
59|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, work_rate_att_High|international_reputation_(0.996, 1.4]|0.32|0.888888888888889
60|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, body_type_Normal|international_reputation_(0.996, 1.4]|0.32|0.888888888888889
61|preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.57|0.890625
62|work_rate_def_Medium, skill_moves_(2.9, 3.2], preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.33|0.891891891891892
63|body_type_Normal|eur_value_(-62940.0, 12354000.0]|0.44|0.897959183673469
64|penalties_(54.5, 61.0]|international_reputation_(0.996, 1.4]|0.38|0.904761904761905
65|penalties_(54.5, 61.0]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.38|0.904761904761905
66|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, preferred_foot_Right|international_reputation_(0.996, 1.4]|0.39|0.906976744186046
67|weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.5|0.909090909090909
68|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|international_reputation_(0.996, 1.4]|0.6|0.909090909090909
69|eur_value_(-62940.0, 12354000.0], preferred_foot_Left|international_reputation_(0.996, 1.4]|0.31|0.911764705882353
70|work_rate_def_Medium, skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.31|0.911764705882353
71|eur_value_(-62940.0, 12354000.0], body_type_Lean|international_reputation_(0.996, 1.4]|0.42|0.91304347826087
72|skill_moves_(2.9, 3.2], preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.42|0.91304347826087
73|work_rate_def_Medium, skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.53|0.913793103448276
74|skill_moves_(2.9, 3.2], body_type_Normal|eur_value_(-62940.0, 12354000.0]|0.32|0.914285714285714
75|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.34|0.918918918918919
76|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], body_type_Lean|international_reputation_(0.996, 1.4]|0.34|0.918918918918919
77|body_type_Lean|eur_value_(-62940.0, 12354000.0]|0.46|0.92
78|preferred_foot_Right, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.35|0.921052631578947
79|skill_moves_(2.9, 3.2], work_rate_att_High|eur_value_(-62940.0, 12354000.0]|0.37|0.925
80|eur_value_(-62940.0, 12354000.0], penalties_(54.5, 61.0]|international_reputation_(0.996, 1.4]|0.38|0.926829268292683
81|skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.41|0.931818181818182
82|skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.69|0.932432432432432
